"plan_id","feature_id","created"
707,2,"2018-09-13 13:32:10.508777+00"
708,2,"2018-09-16 04:25:16.948232+00"
709,2,"2018-09-19 17:41:35.559411+00"
710,2,"2018-09-20 19:45:12.692677+00"
711,2,"2018-09-21 14:20:36.968188+00"
712,2,"2018-09-24 21:12:45.911449+00"
713,2,"2018-09-24 22:17:43.930561+00"
714,2,"2018-09-24 23:12:31.030138+00"
715,2,"2018-09-25 00:01:33.69302+00"
716,2,"2018-09-25 14:42:00.559188+00"
717,2,"2018-09-27 20:44:41.89686+00"
718,2,"2018-09-28 18:33:02.853218+00"
719,2,"2018-09-28 20:49:20.418851+00"
720,2,"2018-10-01 18:33:24.383376+00"
721,2,"2018-10-03 20:12:49.63728+00"
722,2,"2018-10-05 14:57:33.776169+00"
723,2,"2018-10-05 15:51:22.615286+00"
724,2,"2018-10-05 16:09:21.265326+00"
725,2,"2018-10-11 02:39:40.857227+00"
726,2,"2018-10-11 03:00:11.265283+00"
727,2,"2018-10-11 14:35:45.263309+00"
728,2,"2018-10-12 15:03:33.239403+00"
729,2,"2018-10-16 18:00:23.232738+00"
730,2,"2018-10-19 16:25:44.909111+00"
731,2,"2018-10-19 21:18:06.5756+00"
732,2,"2018-10-22 21:18:03.795022+00"
733,2,"2018-10-22 21:33:38.584409+00"
734,2,"2018-10-23 13:47:43.194637+00"
735,2,"2018-10-23 19:55:53.763664+00"
736,2,"2018-10-24 20:03:59.505943+00"
737,2,"2018-10-25 13:32:36.144619+00"
738,2,"2018-10-25 13:44:21.3299+00"
739,2,"2018-10-25 16:34:04.527554+00"
740,2,"2018-10-26 16:59:38.822835+00"
741,2,"2018-10-26 17:05:48.683825+00"
742,2,"2018-10-29 14:23:47.255443+00"
743,2,"2018-10-29 15:19:41.100827+00"
744,2,"2018-10-29 16:06:45.111382+00"
745,2,"2018-10-30 14:24:36.104106+00"
746,2,"2018-10-31 10:42:10.493298+00"
747,2,"2018-10-31 14:49:37.975897+00"
748,2,"2018-11-01 15:03:47.2742+00"
749,2,"2018-11-02 14:10:14.137935+00"
750,2,"2018-11-06 16:23:25.510884+00"
751,2,"2018-11-06 16:33:44.07873+00"
752,2,"2018-11-06 21:27:07.827579+00"
753,2,"2018-11-08 15:54:35.202105+00"
754,2,"2018-11-09 15:05:42.773857+00"
755,2,"2018-11-09 20:03:56.191257+00"
756,2,"2018-11-12 19:23:49.009438+00"
757,2,"2018-11-15 16:57:42.612684+00"
758,2,"2018-11-16 14:29:19.141613+00"
759,2,"2018-11-23 14:27:49.981967+00"
760,2,"2018-11-23 15:20:29.105846+00"
761,2,"2018-11-23 15:24:23.08243+00"
